tf,cond,seed,metric,delta,n,family
egr1,frozen,1,pearsonr,-0.02592860805263487,130,rigid
egr1,frozen,1,spearmanr,-0.027624956094845,130,rigid
egr1,frozen,1,auroc,-0.007744162181013366,130,rigid
egr1,frozen,1,ic_weighted_pcc,-0.01549918023656428,130,rigid
egr1,frozen,1,ic_corr,-0.053901023891760345,130,rigid
egr1,frozen,1,mae,0.04029333029802029,130,rigid
egr1,frozen,2,pearsonr,0.02461504334810474,130,rigid
egr1,frozen,2,spearmanr,0.013738985110658238,130,rigid
egr1,frozen,2,auroc,0.001296750420963303,130,rigid
egr1,frozen,2,ic_weighted_pcc,0.020084841235488888,130,rigid
egr1,frozen,2,ic_corr,-0.07728327068234973,130,rigid
egr1,frozen,2,mae,0.0028429517379173867,130,rigid
egr1,frozen,3,pearsonr,-0.041005116908854944,130,rigid
egr1,frozen,3,spearmanr,-0.03355899596793689,130,rigid
egr1,frozen,3,auroc,-0.004781067203330548,130,rigid
egr1,frozen,3,ic_weighted_pcc,-0.029374823293503823,130,rigid
egr1,frozen,3,ic_corr,-0.045324081650321014,130,rigid
egr1,frozen,3,mae,0.05649927292878811,130,rigid
egr1,frozen,4,pearsonr,-0.043320392804501076,130,rigid
egr1,frozen,4,spearmanr,-0.029269219605958116,130,rigid
egr1,frozen,4,auroc,0.0023590710672038253,130,rigid
egr1,frozen,4,ic_weighted_pcc,-0.033962639330997815,130,rigid
egr1,frozen,4,ic_corr,-0.08413359326837964,130,rigid
egr1,frozen,4,mae,0.05514378272570097,130,rigid
egr1,frozen,5,pearsonr,0.00174139910362439,130,rigid
egr1,frozen,5,spearmanr,-0.019597826817966832,130,rigid
egr1,frozen,5,auroc,-0.008238977240143622,130,rigid
egr1,frozen,5,ic_weighted_pcc,-0.005817203782255247,130,rigid
egr1,frozen,5,ic_corr,-0.0664252482737628,130,rigid
egr1,frozen,5,mae,0.020010351676207322,130,rigid
egr1,relaxed,1,pearsonr,-0.0016398978248765358,130,rigid
egr1,relaxed,1,spearmanr,-0.018178821214133164,130,rigid
egr1,relaxed,1,auroc,0.021713081867659946,130,rigid
egr1,relaxed,1,ic_weighted_pcc,-0.0028459136993104896,130,rigid
egr1,relaxed,1,ic_corr,-0.0452334740084295,130,rigid
egr1,relaxed,1,mae,0.03046976774930954,130,rigid
egr1,relaxed,2,pearsonr,-0.03450122706255485,130,rigid
egr1,relaxed,2,spearmanr,-0.06557780645689894,130,rigid
egr1,relaxed,2,auroc,-0.0177098679472298,130,rigid
egr1,relaxed,2,ic_weighted_pcc,-0.004582028922958648,130,rigid
egr1,relaxed,2,ic_corr,-0.1138478418178906,130,rigid
egr1,relaxed,2,mae,0.06339593472389074,130,rigid
egr1,relaxed,3,pearsonr,-0.04586366625731738,130,rigid
egr1,relaxed,3,spearmanr,-0.01039905125701647,130,rigid
egr1,relaxed,3,auroc,-0.030568496364712615,130,rigid
egr1,relaxed,3,ic_weighted_pcc,-0.043174601515129744,130,rigid
egr1,relaxed,3,ic_corr,-0.015764111666020503,130,rigid
egr1,relaxed,3,mae,0.041857330271830924,130,rigid
egr1,relaxed,4,pearsonr,-0.00267282963897084,130,rigid
egr1,relaxed,4,spearmanr,0.004613354261397272,130,rigid
egr1,relaxed,4,auroc,-0.004971392003461827,130,rigid
egr1,relaxed,4,ic_weighted_pcc,-0.0028483513151129386,130,rigid
egr1,relaxed,4,ic_corr,0.02112140345023777,130,rigid
egr1,relaxed,4,mae,0.030077530672916998,130,rigid
egr1,relaxed,5,pearsonr,-0.032795278953232275,130,rigid
egr1,relaxed,5,spearmanr,-0.05673994792055512,130,rigid
egr1,relaxed,5,auroc,-0.005638765496330827,130,rigid
egr1,relaxed,5,ic_weighted_pcc,-0.024839377782465727,130,rigid
egr1,relaxed,5,ic_corr,-0.047831464606137616,130,rigid
egr1,relaxed,5,mae,0.0400578030026876,130,rigid
ets1,frozen,1,pearsonr,0.025146405600346942,130,rigid
ets1,frozen,1,spearmanr,0.03064044445595341,130,rigid
ets1,frozen,1,auroc,0.008358908131533567,130,rigid
ets1,frozen,1,ic_weighted_pcc,0.005334863255131846,130,rigid
ets1,frozen,1,ic_corr,-0.10571437273150092,130,rigid
ets1,frozen,1,mae,0.0010736259130331187,130,rigid
ets1,frozen,2,pearsonr,-0.027122988433753496,130,rigid
ets1,frozen,2,spearmanr,-0.03122323501527399,130,rigid
ets1,frozen,2,auroc,-0.027711608343529447,130,rigid
ets1,frozen,2,ic_weighted_pcc,-0.026754289000348666,130,rigid
ets1,frozen,2,ic_corr,-0.042159096444102186,130,rigid
ets1,frozen,2,mae,0.03339488850190089,130,rigid
ets1,frozen,3,pearsonr,0.011830033848768313,130,rigid
ets1,frozen,3,spearmanr,0.017783503107955807,130,rigid
ets1,frozen,3,auroc,-0.005041747390633999,130,rigid
ets1,frozen,3,ic_weighted_pcc,0.01874289582870344,130,rigid
ets1,frozen,3,ic_corr,0.01320078133098174,130,rigid
ets1,frozen,3,mae,-0.0012930942269471976,130,rigid
ets1,frozen,4,pearsonr,-0.03510787034493632,130,rigid
ets1,frozen,4,spearmanr,-0.020859893180828853,130,rigid
ets1,frozen,4,auroc,-0.02112923273674527,130,rigid
ets1,frozen,4,ic_weighted_pcc,-0.02725345765495688,130,rigid
ets1,frozen,4,ic_corr,0.03070549036223994,130,rigid
ets1,frozen,4,mae,0.04035015461536554,130,rigid
ets1,frozen,5,pearsonr,0.01339502843168844,130,rigid
ets1,frozen,5,spearmanr,0.020852941675314103,130,rigid
ets1,frozen,5,auroc,0.007577798170884237,130,rigid
ets1,frozen,5,ic_weighted_pcc,-0.002861488320478032,130,rigid
ets1,frozen,5,ic_corr,0.011687505858031034,130,rigid
ets1,frozen,5,mae,-0.0006772231597166795,130,rigid
ets1,relaxed,1,pearsonr,0.005355477466713138,130,rigid
ets1,relaxed,1,spearmanr,0.012366062588076219,130,rigid
ets1,relaxed,1,auroc,0.013751740720716686,130,rigid
ets1,relaxed,1,ic_weighted_pcc,-0.008186941699790458,130,rigid
ets1,relaxed,1,ic_corr,-0.008373201913106604,130,rigid
