tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,relaxed,009,31.4114,41.6553,42.0608,6.9846,11.8659,0.6683,2.0096,0.6474,-0.8738,6.689,13.1086
dux4,relaxed,010,30.5621,38.9826,29.6789,6.8764,12.6522,1.8066,7.2804,-0.0486,0.1783,6.9892,12.1331
dux4,relaxed,011,7.5718,7.9852,40.1982,6.5464,12.8322,3.4835,9.1471,-1.0413,-0.716,4.3289,13.1459
dux4,relaxed,012,146.852,37.9046,40.2418,7.3091,12.7862,1.507,10.319,0.0409,0.3674,6.0411,11.5355
dux4,relaxed,013,9.3555,3.781,58.3521,9.4907,10.721,-1.1323,24.1467,0.2671,-0.0056,7.4896,14.2117
dux4,relaxed,014,11.6993,13.3652,1.4704,5.9144,11.8129,6.2839,-0.8445,-1.0367,-0.0788,5.9807,11.9162
dux4,relaxed,015,72.3226,113.9575,62.8385,4.9059,10.0483,4.3681,-4.3914,-0.2126,0.1827,5.075,10.7933
dux4,relaxed,016,118.1313,45.2543,56.432,8.021,12.9411,4.911,-3.8539,-0.3086,-0.3189,7.3115,11.685
dux4,relaxed,017,20.9934,16.7333,39.3866,4.8759,12.9685,9.4058,13.4133,-0.2625,-0.0235,6.0362,13.5506
dux4,relaxed,018,23.1398,32.8484,40.0179,7.2914,12.7766,8.9416,0.3699,-1.1711,-0.5026,7.036,16.9337
dux4,relaxed,019,40.8386,43.1225,15.2407,6.4445,11.8955,8.6561,-1.1686,0.3208,-0.2641,6.7313,12.3254
dux4,relaxed,020,32.5165,31.7039,42.1493,5.8966,13.8938,4.903,3.0137,-0.029,-0.0462,6.4433,14.8178
dux4,relaxed,021,57.712,61.3471,27.9211,5.7079,11.8896,5.0748,-13.3229,-0.876,-0.979,5.6937,12.2607
dux4,relaxed,024,147.1851,121.5267,60.2793,7.4422,11.8061,3.6731,19.7254,-0.1273,0.0478,6.0789,11.01
dux4,relaxed,025,17.8331,20.437,2.2788,6.5725,10.9582,8.3349,1.1375,-1.0419,-0.2159,6.5813,10.9862
dux4,relaxed,026,15.7526,19.1211,23.9173,6.3024,14.513,3.3092,-4.0639,-0.8335,-0.5351,6.1117,14.1042
dux4,relaxed,028,19.7657,24.9961,17.0983,6.1923,12.0598,10.4516,-1.8611,-0.8022,-0.4359,6.8222,10.7585
dux4,relaxed,029,67.2354,59.2069,33.922,6.6254,11.9982,11.0935,0.5813,0.0822,-0.4827,5.9287,12.8611
dux4,relaxed,030,28.2163,36.158,14.0837,6.7403,9.9916,13.3581,-6.1305,-0.9196,0.6406,6.6073,10.6057
dux4,relaxed,031,127.5252,56.3994,43.406,7.6596,13.0371,9.6912,1.664,-0.5177,0.1053,5.875,12.6581
dux4,relaxed,032,7.234,7.4125,9.7893,6.9402,11.0776,8.2187,9.1154,-0.3794,-0.4286,6.8921,10.6593
dux4,relaxed,033,16.4104,27.5532,18.9752,6.7332,11.6623,8.3788,8.9462,-1.1245,-0.3104,6.7868,11.5953
dux4,relaxed,034,51.9744,66.2801,42.024,5.3316,13.4978,7.6315,-6.4682,0.4919,0.1483,4.9815,13.47
dux4,relaxed,035,19.4545,18.3353,31.5276,10.207,14.3774,15.7028,-0.9413,-0.9313,-0.5006,7.664,14.019
dux4,relaxed,036,11.4063,14.1519,12.3757,12.9251,14.5096,8.5199,3.3647,-0.7932,-0.01,8.636,15.6038
dux4,relaxed,037,5.2384,7.0191,36.5506,7.2825,12.1583,11.9465,-0.4678,-0.4425,-0.485,8.7114,12.6471
dux4,relaxed,038,61.3381,63.8619,24.2007,6.4997,12.3494,6.4902,-5.4135,-1.3689,0.3374,6.5088,12.0254
dux4,relaxed,039,36.6599,34.9251,35.9333,8.3162,10.9723,12.7275,0.149,0.3735,-0.234,7.3929,11.0105
dux4,relaxed,040,143.0218,39.4811,35.6428,5.6933,12.7576,6.7977,-10.0095,-0.214,0.2089,5.7053,12.0242
dux4,relaxed,041,119.7567,67.2604,39.372,7.0991,12.1641,7.9834,1.2791,-0.667,0.0379,6.2805,11.9811
dux4,relaxed,042,9.7022,16.6682,5.1734,6.5925,10.7963,12.5075,-0.6682,-1.0712,-0.617,6.4873,10.7977
dux4,relaxed,045,28.0342,26.8019,11.4008,7.6327,10.8392,8.6366,0.3254,-1.0316,-0.4999,6.5117,10.5655
dux4,relaxed,047,14.7125,6.0312,4.6685,6.644,11.7933,13.5759,-0.4152,-1.6585,-0.5608,6.5633,11.6408
dux4,relaxed,048,11.4493,14.6816,33.9583,6.6649,11.5287,7.8622,-14.8741,0.0725,-0.4475,4.9121,12.0341
dux4,relaxed,049,71.2238,80.6391,26.0201,6.5741,9.4151,7.9265,-2.3926,-1.6922,1.2155,5.3121,11.4192
dux4,relaxed,051,145.2491,30.924,44.8891,6.1267,11.738,7.8801,-1.568,0.3123,-0.0286,6.7544,11.7691
dux4,relaxed,053,137.3822,49.7293,53.6818,6.1114,12.5619,13.358,-1.3653,-0.5196,0.4279,7.1148,12.8223
dux4,relaxed,054,25.5234,12.763,47.992,6.509,11.9807,-0.1151,-1.3421,-0.3081,-0.9718,10.2361,11.941
dux4,relaxed,055,27.8833,39.8797,29.7805,7.4611,11.1497,10.153,15.1936,-0.7862,-0.565,6.6107,10.4567
dux4,relaxed,056,11.7152,9.8079,2.4008,7.2183,12.3678,9.1391,0.7808,-1.0116,0.4543,7.6873,13.65
dux4,relaxed,057,6.142,15.1844,28.9566,5.3171,11.4904,10.4026,-0.0867,-1.4251,-0.5222,5.95,11.9175
dux4,relaxed,058,21.1104,7.1554,50.2145,11.2006,12.4371,-5.3353,-12.0137,0.7336,-0.8198,7.5943,10.8464
dux4,relaxed,059,6.1959,23.2825,25.6167,5.277,11.6738,3.6885,-10.8799,-0.4444,-0.4355,5.7985,10.795
