arm,tf,cond,seed,run,n_epochs,best_epoch,val_min_epoch,val_loss_min,val_loss_final,val_rise_after_min,final_train_val_gap,gap_at_best
augmented,foxa,relaxed,1,augmented_foxa_fold0_dnarelax_s1,50,50.0,50,0.6957905070516488,0.6957905070516488,0.0,0.29064621283721914,0.29064621283721914
augmented,tbp,relaxed,5,augmented_tbp_fold0_dnarelax_s5,50,41.0,41,0.6326633675205594,0.6589418751103937,0.0262785075898343,0.32037355529130307,0.2781869847059968
augmented,engrailed,frozen,5,augmented_engrailed_fold0_s5,50,43.0,43,0.6398452807801132,0.6921280790866436,0.05228279830653049,0.3249234992123861,0.2611654636332024
augmented,ets1,frozen,1,augmented_ets1_fold0_s1,50,49.0,49,0.6740699616245505,0.7173614571568592,0.04329149553230871,0.3498306445617981,0.30821336354057655
augmented,engrailed,frozen,4,augmented_engrailed_fold0_s4,50,49.0,49,0.6518472678891603,0.6832904266124099,0.03144315872324965,0.31762583389430615,0.28379253206000393
baseline,engrailed,frozen,5,baseline_engrailed_fold0_s5,50,27.0,27,0.632201988068972,0.6579880487219208,0.02578606065294886,0.2509208807488204,0.12544641790416922
augmented,ets1,frozen,2,augmented_ets1_fold0_s2,50,43.0,43,0.6926921233738536,0.7095699060730775,0.01687778269922391,0.33256845155880643,0.2912197579239709
augmented,tbp,frozen,1,augmented_tbp_fold0_s1,50,41.0,41,0.6949485399442122,0.722491871872761,0.027543331928548742,0.3635867915185566,0.32031217597744654
augmented,err,frozen,4,augmented_err_fold0_s4,50,23.0,23,0.6324512727227829,0.6479610351072925,0.015509762384509629,0.21701045375870354,0.11008368221261655
baseline,ets1,frozen,3,baseline_ets1_fold0_s3,50,49.0,49,0.6442175859546571,0.655788947170097,0.01157136121543989,0.23469827799456838,0.2226700232490607
baseline,tbp,relaxed,3,baseline_tbp_fold0_dnarelax_s3,50,38.0,38,0.6034362043957323,0.6268061365584803,0.023369932162747964,0.23548369011333214,0.177811607960852
baseline,ets1,relaxed,3,baseline_ets1_fold0_dnarelax_s3,50,16.0,16,0.6254352659671206,0.6649774831277196,0.039542217160599025,0.2638067152118429,0.09564216058912522
augmented,lef1,frozen,3,augmented_lef1_fold0_s3,50,46.0,46,0.6333285365225624,0.6555592038112285,0.022230667288666073,0.2754987031235601,0.2472860202861532
baseline,egr1,relaxed,3,baseline_egr1_fold0_dnarelax_s3,50,49.0,49,0.6670832508355391,0.6746770196854949,0.007593768849955773,0.22572055404934677,0.2091630832601296
augmented,csl,frozen,3,augmented_csl_fold0_s3,50,46.0,46,0.6764501333296872,0.6881986981340428,0.011748564804355599,0.28567054450749935,0.26455695634783133
