pilot,source,pairwise_ca_rmsd
ets1,bioemu,4.5097
ets1,bioemu,3.8055
ets1,bioemu,3.6268
ets1,bioemu,4.48
ets1,bioemu,3.5235
ets1,bioemu,4.2662
ets1,bioemu,3.9251
ets1,bioemu,3.7903
ets1,bioemu,3.6189
ets1,bioemu,3.9093
ets1,bioemu,4.0908
ets1,bioemu,4.0593
ets1,bioemu,3.618
ets1,bioemu,4.1961
ets1,bioemu,3.8748
ets1,bioemu,3.5211
ets1,bioemu,3.7796
ets1,bioemu,4.0252
ets1,bioemu,3.8883
ets1,bioemu,3.7386
ets1,bioemu,4.0878
ets1,bioemu,3.933
ets1,bioemu,3.8672
ets1,bioemu,3.5356
ets1,bioemu,3.7147
ets1,bioemu,1.5038
ets1,bioemu,1.334
ets1,bioemu,1.5486
ets1,bioemu,1.4316
ets1,bioemu,1.4016
ets1,bioemu,1.3955
ets1,bioemu,1.352
ets1,bioemu,1.2522
ets1,bioemu,1.6002
ets1,bioemu,1.4794
ets1,bioemu,1.5221
ets1,bioemu,2.0815
ets1,bioemu,1.5365
ets1,bioemu,1.5434
ets1,bioemu,2.4247
ets1,bioemu,1.5349
ets1,bioemu,1.416
ets1,bioemu,2.0587
ets1,bioemu,1.3447
ets1,bioemu,1.3531
ets1,bioemu,1.7444
ets1,bioemu,1.2813
ets1,bioemu,1.4294
ets1,bioemu,1.6672
ets1,bioemu,1.3319
ets1,bioemu,3.1713
ets1,bioemu,1.4107
ets1,bioemu,1.9731
ets1,bioemu,1.5802
ets1,bioemu,1.5375
ets1,bioemu,2.7473
ets1,bioemu,1.5698
ets1,bioemu,1.5047
ets1,bioemu,1.4886
ets1,bioemu,1.3856
ets1,bioemu,1.8894
ets1,bioemu,1.7036
ets1,bioemu,1.8395
ets1,bioemu,1.5173
ets1,bioemu,1.4869
ets1,bioemu,1.4618
ets1,bioemu,1.3118
ets1,bioemu,1.8372
ets1,bioemu,1.6287
ets1,bioemu,1.5565
ets1,bioemu,1.4265
ets1,bioemu,2.0467
ets1,bioemu,2.1729
ets1,bioemu,1.4333
ets1,bioemu,1.5011
ets1,bioemu,1.543
ets1,bioemu,1.5139
ets1,bioemu,1.7705
ets1,bioemu,1.3147
ets1,bioemu,1.6177
ets1,bioemu,1.612
ets1,bioemu,1.4923
ets1,bioemu,1.7478
ets1,bioemu,2.0353
ets1,bioemu,1.4835
ets1,bioemu,2.0562
ets1,bioemu,1.4101
ets1,bioemu,1.5243
ets1,bioemu,1.6698
ets1,bioemu,1.7912
ets1,bioemu,1.6862
ets1,bioemu,1.1497
ets1,bioemu,2.1499
ets1,bioemu,1.4468
ets1,bioemu,1.4235
ets1,bioemu,1.8217
ets1,bioemu,1.3144
ets1,bioemu,1.6776
ets1,bioemu,1.7388
ets1,bioemu,1.2039
ets1,bioemu,1.2476
ets1,bioemu,1.7912
ets1,bioemu,1.6377
ets1,bioemu,1.5985
ets1,bioemu,1.5661
ets1,bioemu,1.6302
ets1,bioemu,1.3977
ets1,bioemu,1.3718
ets1,bioemu,1.5915
ets1,bioemu,1.6502
ets1,bioemu,1.2915
ets1,bioemu,1.3889
ets1,bioemu,1.5645
ets1,bioemu,1.3238
ets1,bioemu,1.5674
ets1,bioemu,1.4589
ets1,bioemu,1.5345
ets1,bioemu,1.2461
ets1,bioemu,1.4943
ets1,bioemu,1.625
ets1,bioemu,1.2428
ets1,bioemu,1.4679
ets1,bioemu,1.213
ets1,bioemu,1.4872
ets1,bioemu,1.4545
ets1,bioemu,1.6242
ets1,bioemu,1.2599
ets1,bioemu,1.8886
ets1,bioemu,1.4484
ets1,bioemu,1.6988
ets1,bioemu,2.2293
ets1,bioemu,1.3433
ets1,bioemu,1.7145
ets1,bioemu,1.8055
ets1,bioemu,1.494
ets1,bioemu,1.7133
ets1,bioemu,2.0967
ets1,bioemu,1.274
ets1,bioemu,1.4457
ets1,bioemu,1.4678
ets1,bioemu,1.2869
ets1,bioemu,3.5158
ets1,bioemu,1.5186
ets1,bioemu,2.099
ets1,bioemu,1.6539
ets1,bioemu,1.8589
ets1,bioemu,2.6883
ets1,bioemu,1.6935
ets1,bioemu,1.5383
ets1,bioemu,1.2328
ets1,bioemu,1.5999
ets1,bioemu,1.4809
ets1,bioemu,1.7046
ets1,bioemu,1.8459
ets1,bioemu,1.9146
ets1,bioemu,1.4367
ets1,bioemu,1.7185
ets1,bioemu,1.5278
ets1,bioemu,1.7204
ets1,bioemu,1.5299
ets1,bioemu,1.5335
ets1,bioemu,1.301
ets1,bioemu,2.0259
ets1,bioemu,1.783
ets1,bioemu,1.4973
ets1,bioemu,1.5821
ets1,bioemu,1.696
ets1,bioemu,1.8976
ets1,bioemu,1.978
ets1,bioemu,1.4728
ets1,bioemu,1.7793
ets1,bioemu,1.2192
ets1,bioemu,1.2742
ets1,bioemu,1.3123
ets1,bioemu,2.1369
ets1,bioemu,1.7243
ets1,bioemu,1.9157
ets1,bioemu,1.3348
ets1,bioemu,1.3909
ets1,bioemu,1.487
ets1,bioemu,1.3473
ets1,bioemu,1.5841
ets1,bioemu,1.4164
ets1,bioemu,2.3132
ets1,bioemu,1.4663
ets1,bioemu,1.5288
ets1,bioemu,1.9032
ets1,bioemu,1.2629
ets1,bioemu,1.7117
ets1,bioemu,1.5913
ets1,bioemu,1.3493
ets1,bioemu,1.4601
ets1,bioemu,1.7611
ets1,bioemu,1.4571
ets1,bioemu,1.6149
ets1,bioemu,1.6588
ets1,bioemu,1.2518
ets1,bioemu,1.3619
ets1,bioemu,1.7312
ets1,bioemu,1.5161
ets1,bioemu,1.7632
ets1,bioemu,1.3267
ets1,bioemu,1.7286
ets1,bioemu,1.6676
ets1,bioemu,1.252
