pilot,stage,state,ca_rmsd,nres
lef1,stage2,047,5.3489,86
lef1,stage2,048,4.0009,86
lef1,stage2,049,3.9937,86
lef1,stage2,050,6.1977,86
lef1,stage2,051,3.5156,86
lef1,stage2,052,4.7767,86
lef1,stage2,053,6.6401,86
lef1,stage2,054,5.3701,86
lef1,stage2,055,2.9665,86
lef1,stage2,056,2.8159,86
lef1,stage2,057,3.4702,86
lef1,stage2,058,6.3406,86
lef1,stage2,059,8.012,86
lef1,stage2,060,2.8152,86
lef1,stage2,061,7.4269,86
lef1,stage2,062,5.6154,86
lef1,stage2,063,2.4899,86
lef1,stage2,064,11.587,86
lef1,stage2,065,4.2499,86
lef1,stage2,066,5.5367,86
lef1,stage2,067,2.5565,86
lef1,stage2,068,3.8176,86
lef1,stage2,069,2.8803,86
lef1,stage2,070,4.3475,86
lef1,stage2,071,5.8155,86
lef1,stage2,072,6.9857,86
lef1,stage2,073,3.0628,86
lef1,stage2,074,4.3178,86
lef1,stage2,075,3.1873,86
lef1,stage2,076,3.6434,86
lef1,stage2,077,6.799,86
lef1,stage2,078,5.3536,86
lef1,stage2,079,5.3663,86
lef1,stage2,080,4.3163,86
lef1,stage2,081,5.157,86
lef1,stage2,082,4.8148,86
lef1,stage2,083,4.8241,86
lef1,stage2,084,4.081,86
lef1,stage2,085,5.2282,86
lef1,stage2,086,3.6465,86
lef1,stage2,087,8.5776,86
lef1,stage2,088,4.9053,86
lef1,stage2,089,6.0421,86
lef1,stage3,002,5.8037,86
lef1,stage3,003,5.2998,86
lef1,stage3,004,7.4199,86
lef1,stage3,005,4.9333,86
lef1,stage3,006,4.5393,86
lef1,stage3,007,7.0706,86
lef1,stage3,008,5.5991,86
lef1,stage3,009,3.72,86
lef1,stage3,010,6.866,86
lef1,stage3,011,6.3151,86
lef1,stage3,012,4.499,86
lef1,stage3,015,17.7348,86
lef1,stage3,016,8.6407,86
lef1,stage3,017,5.8532,86
lef1,stage3,018,3.2864,86
lef1,stage3,019,6.7215,86
lef1,stage3,020,2.8141,86
lef1,stage3,021,5.877,86
lef1,stage3,022,4.1517,86
lef1,stage3,023,3.8753,86
lef1,stage3,024,5.6067,86
lef1,stage3,025,2.9874,86
lef1,stage3,026,6.359,86
lef1,stage3,027,5.0619,86
lef1,stage3,028,5.0037,86
lef1,stage3,029,6.0912,86
lef1,stage3,030,4.4291,86
lef1,stage3,031,5.0086,86
lef1,stage3,032,6.644,86
lef1,stage3,033,6.3242,86
lef1,stage3,034,3.1168,86
lef1,stage3,035,5.7286,86
lef1,stage3,036,4.6288,86
lef1,stage3,037,5.688,86
lef1,stage3,038,3.5896,86
lef1,stage3,039,3.717,86
lef1,stage3,040,3.4926,86
lef1,stage3,041,4.7679,86
lef1,stage3,042,8.1977,86
lef1,stage3,043,3.6859,86
lef1,stage3,044,6.3232,86
lef1,stage3,045,6.1148,86
lef1,stage3,046,5.2399,86
lef1,stage3,047,5.3331,86
lef1,stage3,048,3.9879,86
lef1,stage3,049,3.9738,86
lef1,stage3,051,3.4571,86
lef1,stage3,052,4.8064,86
lef1,stage3,054,5.3506,86
lef1,stage3,055,2.9903,86
lef1,stage3,056,2.8141,86
lef1,stage3,057,3.4093,86
lef1,stage3,058,6.3898,86
lef1,stage3,059,8.0054,86
lef1,stage3,061,7.4179,86
lef1,stage3,062,5.5937,86
lef1,stage3,063,2.4296,86
lef1,stage3,064,11.7225,86
lef1,stage3,065,4.2364,86
lef1,stage3,066,5.5795,86
lef1,stage3,067,2.5491,86
lef1,stage3,068,3.8254,86
lef1,stage3,069,2.883,86
lef1,stage3,070,4.4,86
lef1,stage3,071,5.8149,86
lef1,stage3,072,7.0102,86
lef1,stage3,073,3.0523,86
lef1,stage3,074,4.312,86
lef1,stage3,075,3.1702,86
lef1,stage3,076,3.6315,86
lef1,stage3,077,6.8414,86
lef1,stage3,078,5.3467,86
lef1,stage3,079,5.3262,86
lef1,stage3,080,4.2978,86
lef1,stage3,081,5.1788,86
lef1,stage3,082,4.8263,86
lef1,stage3,083,4.8239,86
lef1,stage3,084,4.0901,86
lef1,stage3,085,5.2526,86
lef1,stage3,086,3.6288,86
lef1,stage3,087,8.5769,86
lef1,stage3,088,4.9189,86
lef1,stage3,089,6.0915,86
engrailed,stage2,001,2.0401,55
engrailed,stage2,002,2.1588,55
engrailed,stage2,003,1.9254,55
engrailed,stage2,004,1.7691,55
engrailed,stage2,005,3.145,55
engrailed,stage2,006,2.2234,55
engrailed,stage2,007,2.2277,55
engrailed,stage2,008,2.9973,55
engrailed,stage2,009,2.8586,55
engrailed,stage2,010,2.7666,55
engrailed,stage2,011,1.8866,55
engrailed,stage2,012,2.278,55
engrailed,stage2,013,0.905,55
engrailed,stage2,014,5.4901,55
engrailed,stage2,015,1.5665,55
engrailed,stage2,016,1.4039,55
engrailed,stage2,017,1.7126,55
engrailed,stage2,018,1.8221,55
engrailed,stage2,019,1.973,55
engrailed,stage2,020,1.4345,55
engrailed,stage2,021,2.5353,55
engrailed,stage2,022,1.0797,55
engrailed,stage2,023,1.9655,55
engrailed,stage2,024,3.158,55
engrailed,stage2,025,2.0599,55
engrailed,stage2,026,2.1267,55
engrailed,stage2,027,1.6393,55
engrailed,stage2,028,0.7484,55
engrailed,stage2,029,1.8933,55
engrailed,stage2,030,2.1661,55
engrailed,stage2,031,1.3421,55
engrailed,stage2,032,1.1761,55
engrailed,stage2,033,1.9456,55
engrailed,stage2,034,3.2041,55
engrailed,stage2,035,1.6464,55
engrailed,stage2,036,1.2399,55
engrailed,stage2,037,2.3265,55
engrailed,stage2,038,1.6879,55
engrailed,stage2,039,2.9837,55
engrailed,stage2,040,2.177,55
engrailed,stage2,041,4.4779,55
engrailed,stage2,042,1.6279,55
engrailed,stage2,043,1.1927,55
engrailed,stage2,044,2.3776,55
engrailed,stage2,045,2.4341,55
engrailed,stage2,046,2.4226,55
engrailed,stage2,047,2.6033,55
engrailed,stage2,048,1.825,55
engrailed,stage2,049,3.3598,55
engrailed,stage2,050,1.4085,55
engrailed,stage2,051,1.8389,55
engrailed,stage2,052,2.6825,55
engrailed,stage2,053,1.9004,55
engrailed,stage2,054,1.3661,55
engrailed,stage2,055,1.7785,55
engrailed,stage2,056,1.3775,55
engrailed,stage2,057,1.8202,55
engrailed,stage2,058,3.5359,55
engrailed,stage2,059,2.6348,55
engrailed,stage2,060,2.5649,55
engrailed,stage2,061,1.6239,55
engrailed,stage2,062,1.9904,55
engrailed,stage2,063,0.7762,55
engrailed,stage2,064,0.931,55
engrailed,stage2,065,1.7436,55
engrailed,stage2,066,1.8511,55
engrailed,stage2,067,3.6412,55
engrailed,stage2,068,0.9537,55
engrailed,stage2,069,1.2263,55
engrailed,stage2,070,1.94,55
engrailed,stage2,071,2.4427,55
engrailed,stage2,072,2.1334,55
engrailed,stage2,073,2.8739,55
engrailed,stage2,074,1.4287,55
engrailed,stage2,075,2.4039,55
engrailed,stage2,076,2.0459,55
